frame_index,time_sec,token,pc1,pc2,pc3
0,0.0,video_tok_0,1.4174163,2.967543,4.002832
1,0.09994612068965517,video_tok_0,1.2617966,2.9944293,4.034709
2,0.19989224137931033,video_tok_0,1.2196466,2.8427649,4.179624
3,0.2998383620689655,video_tok_0,1.2985117,2.941324,4.1874456
4,0.39978448275862066,video_tok_0,1.2702839,2.9418542,4.2432685
5,0.49973060344827586,video_tok_0,1.2699488,2.913314,4.2709894
6,0.599676724137931,video_tok_0,1.2672535,2.9138446,4.277618
7,0.6996228448275862,video_tok_0,1.2939239,2.8841262,4.2826867
8,0.7995689655172413,video_tok_0,1.275325,2.9176538,4.2751956
9,0.8995150862068966,video_tok_0,1.2635076,2.8629055,4.318074
10,0.9994612068965517,video_tok_0,1.906421,2.5139532,3.7083883
11,1.0994073275862069,video_tok_0,2.1298532,3.167436,3.925172
12,1.199353448275862,video_tok_0,1.9417269,3.4899163,3.880659
13,1.2992995689655171,video_tok_0,1.7463292,3.364523,3.6574392
14,1.3992456896551724,video_tok_0,1.7858232,3.41925,4.163734
15,1.4991918103448276,video_tok_0,1.3476675,4.0168896,4.073437
16,1.5991379310344827,video_tok_0,1.0343878,3.6392019,3.553214
17,1.699084051724138,video_tok_0,0.93170804,3.2808492,3.661534
18,1.7990301724137931,video_tok_0,1.1358182,3.1800866,3.1568408
19,1.8989762931034482,video_tok_0,1.0530344,2.8288424,3.3494222
20,1.9989224137931034,video_tok_0,1.0604508,2.95662,3.0233302
21,2.0988685344827585,video_tok_0,1.3441643,2.9295146,3.2224817
22,2.1988146551724137,video_tok_0,1.5064659,2.3376868,3.2122467
23,2.298760775862069,video_tok_0,1.3342503,2.2364318,3.2042665
24,2.398706896551724,video_tok_0,1.2918253,2.307112,3.2901683
25,2.4986530172413794,video_tok_0,0.8837309,1.9495924,3.5489688
26,2.5985991379310343,video_tok_0,1.1612949,1.8241919,3.486644
27,2.6985452586206895,video_tok_0,0.9733069,1.4978564,2.7485228
28,2.7984913793103448,video_tok_0,1.1204988,1.5061703,2.358626
29,2.8984375,video_tok_0,0.957722,1.6876323,2.872108
30,2.9983836206896552,video_tok_0,1.0643725,2.1168878,3.3113403
31,3.09832974137931,video_tok_0,1.0855566,2.5597286,3.45665
32,3.1982758620689653,video_tok_0,1.0123041,2.4890351,2.452864
33,3.2982219827586206,video_tok_0,0.7702991,2.4213464,2.9365783
34,3.398168103448276,video_tok_0,0.733657,2.4126136,3.1994627
35,3.498114224137931,video_tok_0,0.4393904,1.9871665,2.0204592
36,3.5980603448275863,video_tok_0,0.41801918,1.0653406,2.5463545
37,3.698006465517241,video_tok_0,0.48845285,1.2031571,2.764527
38,3.7979525862068964,video_tok_0,0.42040578,1.0218832,2.474473
39,3.8978987068965516,video_tok_0,0.24983224,0.9772221,2.8663003
40,3.997844827586207,video_tok_0,0.12241628,0.7251466,2.8298514
41,4.097790948275862,video_tok_0,0.13068798,0.620262,2.9290595
42,4.197737068965517,video_tok_0,0.21277165,0.45765734,2.3939505
43,4.297683189655173,video_tok_0,0.018940309,0.37242392,2.665911
44,4.397629310344827,video_tok_0,0.081145905,0.51436764,2.3726282
45,4.497575431034482,video_tok_0,-0.060432393,0.31306764,2.5329728
46,4.597521551724138,video_tok_0,-0.14877868,0.18500939,2.024169
47,4.697467672413793,video_tok_0,-0.17802563,0.106306635,2.2675889
48,4.797413793103448,video_tok_0,-0.064120345,0.039949257,2.7968025
49,4.897359913793103,video_tok_0,-0.31068608,-0.011564067,2.7400932
50,4.997306034482759,video_tok_0,-0.38912356,-0.07628855,2.6648252
51,5.097252155172414,video_tok_0,-0.4280779,-0.054258663,2.5196228
52,5.1971982758620685,video_tok_0,0.0026496667,-0.3046694,2.7315993
53,5.297144396551724,video_tok_0,-0.009846328,-0.5072685,2.9198682
54,5.397090517241379,video_tok_0,-0.14210834,-0.505066,2.974182
55,5.497036637931035,video_tok_0,-0.12757857,-0.34743264,3.0053167
56,5.5969827586206895,video_tok_0,-0.13341512,-0.4096055,2.857751
57,5.696928879310344,video_tok_0,-0.056917895,-0.3018491,2.9511604
58,5.796875,video_tok_0,-0.1344403,-0.22369832,2.4599445
59,5.896821120689655,video_tok_0,0.056481704,-0.067199826,2.4194098
60,5.9967672413793105,video_tok_0,-0.29733396,-0.20633572,2.9225783
61,6.096713362068965,video_tok_0,-0.3214459,-0.5209361,2.8348286
62,6.19665948275862,video_tok_0,-0.053969774,-0.1433366,2.1015232
63,6.296605603448276,video_tok_0,-0.21563631,-0.38652796,1.6673162
64,6.396551724137931,video_tok_0,-0.11698509,-0.44003347,1.9412543
65,6.496497844827586,video_tok_0,-0.45421612,-0.69278806,1.007495
66,6.596443965517241,video_tok_5,-1.0156155,-0.93709415,-0.05498525
67,6.696390086206896,video_tok_5,-2.07755,-1.127815,-0.5172706
68,6.796336206896552,video_tok_5,-1.7902341,-1.1840552,1.0638752
69,6.896282327586206,video_tok_5,-2.0783954,-0.988615,1.0455345
70,6.996228448275862,video_tok_0,-1.3183091,-0.68596,1.0844933
71,7.096174568965517,video_tok_0,-1.077507,-0.53003323,0.7068493
72,7.196120689655173,video_tok_0,-0.5447732,-0.06265782,0.55968267
73,7.296066810344827,video_tok_0,0.14079829,0.66846424,0.54718214
74,7.396012931034482,video_tok_0,0.3368467,0.7430334,0.8006771
75,7.495959051724138,video_tok_0,0.49166623,0.82296205,1.2377433
76,7.595905172413793,video_tok_0,0.6024443,1.1393384,1.3514329
77,7.695851293103448,video_tok_0,0.6063405,1.5536892,1.7286125
78,7.795797413793103,video_tok_0,0.39663568,0.9850073,2.0750113
79,7.895743534482758,video_tok_0,0.15593612,0.72521394,1.9576578
80,7.995689655172414,video_tok_0,0.16562057,0.70480025,2.1243439
81,8.09563577586207,video_tok_0,-0.23751599,0.52203196,1.8489751
82,8.195581896551724,video_tok_0,0.14889413,0.39693636,1.1806113
83,8.295528017241379,video_tok_0,-0.027498139,-0.10121371,1.0454501
84,8.395474137931034,video_tok_0,0.10696515,0.046267275,0.8775489
85,8.495420258620689,video_tok_0,-0.24316525,-0.5091456,1.2138658
86,8.595366379310345,video_tok_0,-0.18724856,-0.6147881,1.0620216
87,8.6953125,video_tok_0,-0.3729742,-0.37600106,0.7584436
88,8.795258620689655,video_tok_0,-0.40192342,-0.31983504,0.52856225
89,8.89520474137931,video_tok_0,-0.53652376,-0.33064324,0.5610253
90,8.995150862068964,video_tok_0,-0.2859275,-0.051446516,0.53050345
91,9.095096982758621,video_tok_0,0.14399305,0.7250562,0.48022658
92,9.195043103448276,video_tok_0,0.18333307,0.6541614,0.38362262
93,9.29498922413793,video_tok_0,0.1958624,0.8634636,0.73150796
94,9.394935344827585,video_tok_0,0.2202414,0.7928184,0.5901147
95,9.49488146551724,video_tok_0,0.50806445,1.1610857,0.987636
96,9.594827586206897,video_tok_0,0.7133305,1.3744507,1.1051742
97,9.694773706896552,video_tok_0,0.5958139,1.5570836,1.6215075
98,9.794719827586206,video_tok_0,1.0324869,1.927877,1.530675
99,9.894665948275861,video_tok_0,0.88177836,2.169858,2.175241
100,9.994612068965518,video_tok_0,0.86526775,1.7896258,1.8783655
101,10.094558189655173,video_tok_0,0.7664414,1.6599549,1.5187073
102,10.194504310344827,video_tok_0,0.7174845,1.516735,1.8800014
103,10.294450431034482,video_tok_0,0.6365968,1.2096237,1.1430631
104,10.394396551724137,video_tok_0,0.1806906,0.7245229,1.5995238
105,10.494342672413794,video_tok_0,0.173547,0.6378714,1.7536601
106,10.594288793103448,video_tok_0,0.21173161,0.68486947,1.2871627
107,10.694234913793103,video_tok_0,0.05097689,0.67898494,1.3666595
108,10.794181034482758,video_tok_0,0.0173792,0.20702116,1.8032146
