source,target,distance
audio_tok_3,audio_tok_4,0.8058248319162392
audio_tok_3,audio_tok_6,0.8959359044993226
audio_tok_3,audio_tok_5,1.3365998033140325
audio_tok_7,audio_tok_0,1.1130848417448027
audio_tok_7,audio_tok_2,1.123895281884051
audio_tok_7,audio_tok_1,1.520929817550174
audio_tok_4,audio_tok_3,0.8058248319162392
audio_tok_4,audio_tok_1,0.8073338325703991
audio_tok_4,audio_tok_5,0.8591702956020617
audio_tok_2,audio_tok_0,0.43023757589890593
audio_tok_2,audio_tok_7,1.123895281884051
audio_tok_2,audio_tok_3,1.6245085389339795
audio_tok_0,audio_tok_2,0.43023757589890593
audio_tok_0,audio_tok_7,1.1130848417448027
audio_tok_0,audio_tok_5,1.6517907790995194
audio_tok_1,audio_tok_5,0.5355555203463753
audio_tok_1,audio_tok_4,0.8073338325703991
audio_tok_1,audio_tok_6,1.4266412036080096
audio_tok_5,audio_tok_1,0.5355555203463753
audio_tok_5,audio_tok_4,0.8591702956020617
audio_tok_5,audio_tok_3,1.3365998033140325
audio_tok_6,audio_tok_3,0.8959359044993226
audio_tok_6,audio_tok_4,0.9645666363803785
audio_tok_6,audio_tok_1,1.4266412036080096
